	Glucose_Insulin	Leptin_pg_ml	Adiponectin
F2_81	0.229180116204003	47660	6.102
F2_82	0.853293413173653	NA	NA
F2_83	0.46690518783542	63940	7.111
F2_37	0.658499234303216	17100	12.47
F2_38	0.95257731958763	20520	10.666
F2_39	0.0173055767115173	76900	4.645
F2_181	0.88051948051948	36938.46	7.249
F2_182	0.751101321585903	58917.6	8.2
F2_183	0.158149171270718	89386.56	6.674
F2_184	0.0629860031104199	68329.66	4.049
F2_185	0.42766631467793	67841.8	6.866
F2_186	0.154276985743381	61515.86	4.981
F2_187	0.179224253232278	110412.14	8.23
F2_188	0.44474761255116	38630.06	11.512
F2_189	0.747191011235955	72381.04	10.741
F2_190	0.165144898769353	198754.98	30.108
F2_191	0.174105621805792	130294.1	8.401
F2_192	0.235436893203884	117591.48	7.249
F2_193	0.425832492431887	187192.68	21.957
F2_194	0.664179104477612	61364.68	9.179
F2_195	1.22344322344322	2492.7	6.28
F2_196	0.0934554268785349	61938.34	4.329
F2_197	0.146459747817653	48914.66	3.745
F2_198	0.150057714505579	48666.46	4.013
F2_199	0.0594394329896907	119780.18	3.817
F2_200	0.303877940241577	158479.3	10.062
F2_201	0.0730656219392752	311297.8	NA
F2_202	0.21680216802168	122653.24	13.272
F2_215	0.0692151752099624	108934.78	8.239
F2_214	0.781115879828326	23191.36	8.391
F2_216	0.0500046996898205	95554.66	2.874
F2_217	0.110072248193795	60077.2	4.836
F2_218	0.0692608908467939	121461.38	2.916
F2_219	0.0503155836074318	32310.06	3.077
F2_220	0.0710316081972907	76969.84	1.555
F2_221	0.42374616171955	163032.58	9.376
F2_222	0.661512027491409	111583.74	8.583
F2_223	0.321459600347524	56629.96	5.309
F2_224	0.774774774774775	40867.7	6.171
F2_146	0.124534986713906	130230.86	6.001
F2_147	0.110182370820669	42125.16	5.788
F2_148	0.101574101574102	99486.88	9.3
F2_149	0.265763111373011	80689.72	9.502
F2_150	0.379032258064516	85032.46	6.761
F2_151	0.054356797547459	41683.82	5.36
F2_152	0.0362813279097231	51437.38	5.465
F2_153	0.213935230618253	76830.3	22.932
F2_154	0.695481335952849	103567.76	8.128
F2_155	0.73120728929385	48186.02	12.619
F2_156	0.626016260162602	80302.36	5.958
F2_157	0.557739557739558	3662.48	7.541
F2_158	0.200595829195631	54820.86	3.603
F2_159	0.127102354637194	74850.12	3.914
F2_160	0.609859154929577	42360.32	3.634
F2_161	0.510989010989011	118566.9	3.663
F2_162	0.7248	125457.98	3.737
F2_163	0.42992700729927	152968.96	5.875
F2_164	0.167351512887561	98773.12	3.951
F2_165	0.726881720430108	26971.26	4.7
F2_166	0.226774379688402	181193.08	5.99
F2_167	0.840490797546012	20350.54	4.418
F2_168	0.528767123287671	56925.02	7.711
F2_169	0.539967373572594	47425.36	7.76
F2_170	0.0941259731068648	74687.4	4.045
F2_171	0.0406855678359763	77029.38	4.284
F2_172	0.806611570247934	69842.86	9.03
F2_173	0.04344368227458	136558.32	5.429
F2_174	0.0538694992412747	63445.66	3.787
F2_317	0.0849884526558891	63934.78	4.788
F2_318	0.168535725728933	93027.22	5.574
F2_319	0.113544926240501	95510.38	3.888
F2_320	0.309197651663405	68926.58	15.384
F2_321	0.0623125302370585	172820.02	12.688
F2_322	NA	NA	NA
F2_323	0.321869488536155	205015.6	7.151
F2_324	0.224324324324324	159873.28	5.943
F2_325	0.239976757699012	207949.4	11.174
F2_326	0.682210708117444	75031.7	17.993
F2_327	0.363188167625308	132981.3	17.458
F2_328	0.397043294614572	224701.8	9.939
F2_329	0.44367417677643	63797.58	15.756
F2_330	0.571912013536379	10302.78	5.507
F2_331	0.834883720930233	37297.52	13.397
F2_332	0.779816513761468	28512.1	9.119
F2_333	NA	NA	NA
F2_334	0.072124391157737	191262.98	6.102
F2_335	0.0470750026446631	202165.2	8.253
F2_336	0.127850725639254	47238.76	4.906
F2_337	0.527272727272727	49805.7	14.423
F2_338	1.01492537313433	3049.6	11.691
F2_339	0.424645390070922	99322.98	10.081
F2_340	0.0619906868451688	55350.74	3.108
F2_341	0.0666906993511175	147638.1	7.758
F2_342	0.228456913827655	108079.74	14.812
F2_343	0.655172413793103	15170.2	8.354
F2_344	0.0972822730080296	72536.8	9.076
F2_345	0.0740291262135922	47847.3	5.598
